Name,Age,Married/Single,Experience,Profession,CURRENT_JOB_YRS,House_Ownership,Car_Ownership,CURRENT_HOUSE_YRS,income,City,State
Mckenzie Evans,21,0,6,46,19,1,0,24,136932.7,New Bradyside,Oklahoma
Brittany Duarte MD,33,0,25,47,10,0,1,9,78501.28,Shannonfurt,Georgia
Jeffrey Snow,61,0,28,48,5,2,1,8,93541.03,Lauramouth,Illinois
Mitchell Brooks,60,1,16,11,13,2,1,24,120780.03,Michaelstad,South Dakota
Joseph Gomez,24,1,8,10,7,1,1,13,132354.42,Harrellland,Tennessee
Jamie Butler,28,0,27,13,20,2,1,15,20516.18,Brownburgh,Montana
William Rocha,26,1,50,13,2,0,0,18,17140.55,Whiteborough,North Dakota
Kelly Scott,47,1,50,37,2,2,1,4,33159.8,Port Kathryn,Idaho
Carrie Wood,48,1,6,47,16,1,1,27,33041.9,Michaelshire,South Dakota
Katie Weeks,42,0,44,13,13,0,0,29,69729.4,Alexandertown,Oklahoma
Brenda Welch,61,1,13,42,11,2,0,25,104389.14,East Curtisshire,South Dakota
Danielle Campos,37,0,19,22,19,0,0,21,121204.8,Cameronton,Vermont
Brooke Contreras,37,0,39,29,16,1,0,2,110186.57,North Veronicahaven,Delaware
Sarah Delacruz,42,1,29,26,9,0,0,3,109552.01,South Matthewville,Kansas
Derek Villa,57,0,37,20,6,0,0,22,35983.28,West Cassandraview,Michigan
Craig Pearson,55,1,9,33,11,1,1,1,80246.75,Meyerfurt,Kansas
Allison Ritter,53,1,9,30,14,2,1,19,141867.51,West Cassandrafurt,Nebraska
Nathaniel Nicholson,59,1,17,40,10,2,0,6,67522.67,Smithburgh,Massachusetts
Judy Harrison,49,0,16,5,17,0,1,28,51960.54,West James,Iowa
Calvin Carlson,65,0,11,50,5,2,1,16,102056.89,East Tiffanyshire,Minnesota
Charles Doyle,69,0,42,2,10,2,0,23,35212.46,Lake Ian,Rhode Island
Matthew Pearson,58,1,14,5,11,2,1,28,147073.29,Soniastad,Kentucky
Patricia Moreno,69,0,48,32,8,0,0,5,101850.12,North Jennifer,Wyoming
Susan Robertson,51,1,37,13,8,2,0,16,47175.02,Lake Andrewburgh,Arkansas
Heidi Garner,43,0,8,28,1,0,0,13,70488.38,Donovanstad,Hawaii
Julia Mcclain,63,0,6,38,12,0,1,29,83395.16,Gomezshire,Louisiana
Bethany Thomas,32,1,44,1,5,1,1,19,24541.0,Jonview,North Dakota
Shelley Hooper,41,1,30,15,1,2,0,1,76686.13,East Williamborough,Colorado
Brittany Ochoa,32,1,27,48,19,1,0,26,128566.0,Lake Sarahhaven,Oklahoma
Andre Patel,21,1,43,6,14,2,1,29,88519.59,West Scottville,Georgia
Cindy Romero,46,0,22,18,5,2,1,15,23356.06,Cesarberg,Washington
Dustin Mckay,70,0,9,39,20,2,1,24,28583.02,South Savannahport,Vermont
Valerie Martinez,46,0,18,27,7,0,0,19,12743.72,Jordanland,Maine
Kathryn Baird,49,0,9,16,10,0,1,3,82950.37,Anthonyfurt,Minnesota
Claudia Mclaughlin,22,0,50,29,12,2,0,5,113401.99,Loganmouth,Utah
Amy Berry,47,1,19,12,12,0,0,6,20484.86,Johnsonstad,Missouri
Mrs. Renee Smith MD,62,1,31,42,8,1,1,5,26230.11,New Karentown,Minnesota
Sandra Brown,50,1,7,3,11,1,0,21,85190.13,Port Natalie,New York
Melissa Hubbard,47,1,29,38,11,0,1,18,91663.64,Elizabethborough,Oregon
Jason Tyler,70,0,38,31,8,1,0,7,145850.95,North Joycefurt,Tennessee
Rhonda Hayden,62,1,43,8,9,1,0,14,133490.0,Joelstad,Montana
Carrie Lewis,33,0,28,45,7,1,0,27,23969.38,Norrisfurt,Kansas
Marissa Cooper,37,0,43,34,2,1,0,4,135120.33,Lake Julie,Iowa
Teresa Marshall,30,0,13,6,11,1,1,21,64271.51,Randallfurt,South Carolina
Carolyn Hayden,45,1,33,31,2,2,0,24,92178.15,Lake Rebecca,Wisconsin
Richard Schmidt,43,0,38,19,16,1,0,7,36391.86,Port Kristahaven,Idaho
Brian Young,70,0,32,24,7,2,0,26,70861.83,Russelltown,Oregon
Stacy Carlson,50,1,19,29,5,2,0,22,123688.89,Jacksonfurt,Missouri
Tiffany Murray,67,0,21,48,2,2,1,17,148301.15,Lake Dennis,Michigan
Rebecca Malone,28,1,28,45,13,2,1,28,87615.85,Hayesville,Texas
Andre Foster,40,1,46,7,14,1,0,17,120487.96,North Brian,Idaho
Elizabeth Sharp,60,1,47,5,2,1,1,26,121858.07,East Paulland,Delaware
Jeffery Ayala,70,1,15,19,2,2,1,3,49536.75,Riverabury,Alaska
Jenny Perez,65,0,49,10,20,1,1,10,73086.96,Lake Ronald,Tennessee
Mrs. Mary Benson,53,0,18,23,3,0,1,29,101236.86,New Kimberlyport,Arkansas
Ashley Love,69,1,10,18,5,1,0,9,94301.71,Port Wendychester,Massachusetts
Antonio Howard,41,1,33,10,1,2,1,18,58315.39,Hooverview,Louisiana
Laurie Yang,42,1,49,48,19,0,0,8,31016.26,Weisshaven,Rhode Island
Jordan Smith,48,1,41,15,6,0,1,20,107270.06,Houstonton,Florida
Erica Sanchez,45,0,8,21,7,1,0,19,20786.98,New Rebekah,Maryland
Laura Wilson,38,1,16,17,18,2,0,15,120102.22,Dixonville,Minnesota
Eric Fritz,29,0,15,50,4,0,1,18,25822.24,West Joanside,Montana
Dalton Johnston,21,1,1,22,16,0,1,12,25742.42,Lake Robertfurt,Indiana
Heather Howard,69,1,31,34,15,2,0,23,124588.19,Martintown,Arizona
Anthony Jennings,46,1,41,31,3,2,1,27,33427.97,East Kathleenstad,Maine
Steven Ortega,58,1,48,24,19,1,0,29,89264.99,Nguyenside,Kentucky
Julia Miller,45,1,6,47,7,0,1,2,121018.57,Stephenmouth,South Carolina
Caitlin Dominguez,28,1,35,32,2,0,0,16,126192.33,Port Robertside,Wisconsin
Lisa Guerrero,32,0,27,21,3,1,0,24,46997.76,Lindseyburgh,Montana
Elizabeth West,53,1,42,28,9,2,1,28,91049.63,Jacksontown,Idaho
